request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,Pay USD 404.23 today. The projected balance stays above the USD 1300 minimum (lowest point USD 3169.68).
request_63,41969.73,not_affordable,not_recommended,none,,none,"Do not proceed with this INR 343900 request. Although INR 41969.73 is available today, the full amount cannot be completed safely within 90 days while keeping INR 153500."
request_64,0,not_affordable,not_recommended,none,,none,Do not proceed with this INR 63700 request.
request_65,7267.71,not_affordable,not_recommended,none,,none,"Do not proceed with this ZAR 54340 request. Although ZAR 7267.71 is available today, the full amount cannot be completed safely within 90 days while keeping ZAR 15500."
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,Pay INR 22200 today. The projected balance stays above the INR 80700 minimum (lowest point INR 174988.76).
request_67,607.45,affordable_later,wait,2024-11-15:2094,2024-11-15,none,"Wait until 2024-11-15, then pay USD 2094 in full. The projected balance stays above the USD 1200 minimum (lowest point USD 1807.45)."
request_68,1629.68,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-03-15,none,Pay in 3 installments of USD 725.09 (option payment_option_187). The projected balance stays above the USD 1500 minimum (lowest point USD 1864.19).
request_69,529.10,affordable_now,full_payment,2026-01-04:529.10,2026-01-04,none,Pay EUR 529.10 today. The projected balance stays above the EUR 700 minimum (lowest point EUR 834.82).
request_70,61135.81,affordable_later,wait,2025-02-15:243900,2025-02-15,none,"Wait until 2025-02-15, then pay INR 243900 in full. The projected balance stays above the INR 115000 minimum (lowest point INR 176135.81)."
request_71,2217740.02,not_affordable,not_recommended,none,,none,"Do not proceed with this IDR 21451000 request. Although IDR 2217740.02 is available today, the full amount cannot be completed safely within 90 days while keeping IDR 8884800."
request_72,11330,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,Pay ZAR 11330 today. The projected balance stays above the ZAR 12200 minimum (lowest point ZAR 14352.16).
request_73,71400,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,Pay INR 71400 today. The projected balance stays above the INR 103200 minimum (lowest point INR 139306.18).
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,Pay ZAR 5010 today. The projected balance stays above the ZAR 21900 minimum (lowest point ZAR 46388.39).
request_75,28270,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,Pay in 3 installments of ZAR 9800.27 (option payment_option_208). The projected balance stays above the ZAR 39000 minimum (lowest point ZAR 123225.82).
request_76,0,not_affordable,not_recommended,none,,none,Do not proceed with this USD 4455.60 request.
request_77,60700,affordable_now,full_payment,2025-11-05:60700,2025-11-05,none,Pay INR 60700 today. The projected balance stays above the INR 82200 minimum (lowest point INR 86465.78).
request_78,50200,affordable_now,full_payment,2025-10-02:50200,2025-10-02,none,Pay INR 50200 today. The projected balance stays above the INR 55200 minimum (lowest point INR 64500.66).
request_79,312.89,not_affordable,not_recommended,none,,none,"Do not proceed with this EUR 2151.60 request. Although EUR 312.89 is available today, the full amount cannot be completed safely within 90 days while keeping EUR 1000."
request_80,1231.78,not_affordable,not_recommended,none,,none,"Do not proceed with this INR 217500 request. Although INR 1231.78 is available today, the full amount cannot be completed safely within 90 days while keeping INR 121300."
request_81,2076,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,Pay USD 2076 today. The projected balance stays above the USD 1600 minimum (lowest point USD 1977.36).
request_82,541.67,affordable_later,wait,2025-02-15:1405.20,2025-02-15,none,"Wait until 2025-02-15, then pay USD 1405.20 in full. The projected balance stays above the USD 1100 minimum (lowest point USD 1641.67)."
request_83,0,not_affordable,not_recommended,none,,none,Do not proceed with this INR 156200 request.
request_84,33624.84,affordable_later,wait,2026-06-15:95400,2026-06-15,none,"Wait until 2026-06-15, then pay INR 95400 in full. The projected balance stays above the INR 91300 minimum (lowest point INR 124924.84)."
request_85,1296076.34,not_affordable,not_recommended,none,,none,"Do not proceed with this IDR 19304000 request. Although IDR 1296076.34 is available today, the full amount cannot be completed safely within 90 days while keeping IDR 6396300."
request_86,36559.63,affordable_later,wait,2025-08-23:46300,2025-08-23,none,"Wait until 2025-08-23, then pay INR 46300 in full. The projected balance stays above the INR 84900 minimum (lowest point INR 121459.63)."
request_87,9865.43,not_affordable,not_recommended,none,,none,"Do not proceed with this INR 487900 request. Although INR 9865.43 is available today, the full amount cannot be completed safely within 90 days while keeping INR 185900."
request_88,10597.44,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-07-15,none,Pay in 3 installments of ZAR 9045.23 (option payment_option_245). The projected balance stays above the ZAR 25800 minimum (lowest point ZAR 27352.22).
request_89,10950060.04,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2025-12-15,none,Pay in 3 installments of IDR 4768746.67 (option payment_option_248). The projected balance stays above the IDR 12534700 minimum (lowest point IDR 13501284.35).
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,Pay ZAR 2560 today. The projected balance stays above the ZAR 7600 minimum (lowest point ZAR 22811.70).
request_91,734.11,affordable_later,wait,2024-11-15:1927.20,2024-11-15,none,"Wait until 2024-11-15, then pay EUR 1927.20 in full. The projected balance stays above the EUR 2100 minimum (lowest point EUR 2834.11)."
request_92,27556.27,affordable_later,wait,2025-04-24:34034,2025-04-24,none,"Wait until 2025-04-24, then pay ZAR 34034 in full. The projected balance stays above the ZAR 28100 minimum (lowest point ZAR 55656.27)."
request_93,1729.20,affordable_now,full_payment,2026-04-07:1729.20,2026-04-07,none,Pay USD 1729.20 today. The projected balance stays above the USD 1900 minimum (lowest point USD 2094.78).
request_94,572,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,Pay EUR 572 today. The projected balance stays above the EUR 600 minimum (lowest point EUR 1268.51).
request_95,59262.77,not_affordable,not_recommended,none,,none,"Do not proceed with this INR 553000 request. Although INR 59262.77 is available today, the full amount cannot be completed safely within 90 days while keeping INR 145500."
request_96,84965.29,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-01-15,none,Pay in 3 installments of INR 31269.33 (option payment_option_269). The projected balance stays above the INR 56500 minimum (lowest point INR 64553.39).
request_97,0,not_affordable,not_recommended,none,2024-05-15,none,Do not proceed with this ZAR 23496 request.
request_98,7525.29,affordable_later,wait,2025-10-15:27148,2025-10-15,none,"Wait until 2025-10-15, then pay ZAR 27148 in full. The projected balance stays above the ZAR 30000 minimum (lowest point ZAR 37525.29)."
request_99,18062,affordable_now,full_payment,2026-07-04:18062,2026-07-04,none,Pay ZAR 18062 today. The projected balance stays above the ZAR 49100 minimum (lowest point ZAR 54141.24).
request_100,29616.17,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-06-15,none,Pay in 3 installments of ZAR 12866.19 (option payment_option_281). The projected balance stays above the ZAR 32500 minimum (lowest point ZAR 39407.52).
request_101,143500,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,Pay INR 143500 today. The projected balance stays above the INR 187400 minimum (lowest point INR 197318.13).
request_102,1716,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,Pay in 3 installments of EUR 594.88 (option payment_option_287). The projected balance stays above the EUR 900 minimum (lowest point EUR 2367.02).
request_103,22528.08,not_affordable,not_recommended,none,,none,"Do not proceed with this INR 368300 request. Although INR 22528.08 is available today, the full amount cannot be completed safely within 90 days while keeping INR 125500."
request_104,3639.28,not_affordable,not_recommended,none,,none,"Do not proceed with this ZAR 17204 request. Although ZAR 3639.28 is available today, the full amount cannot be completed safely within 90 days while keeping ZAR 24700."
request_105,38915.15,affordable_later,wait,2026-06-15:53500,2026-06-15,none,"Wait until 2026-06-15, then pay INR 53500 in full. The projected balance stays above the INR 73900 minimum (lowest point INR 112815.15)."
request_106,388.74,affordable_later,wait,2025-02-15:2207.70,2025-02-15,none,"Wait until 2025-02-15, then pay EUR 2207.70 in full. The projected balance stays above the EUR 1200 minimum (lowest point EUR 1588.74)."
request_107,2534.40,affordable_with_plan,installments,2025-05-08:878.59|2025-06-05:878.59|2025-07-03:878.59,2025-05-05,none,Pay in 3 installments of EUR 878.59 (option payment_option_301). The projected balance stays above the EUR 1600 minimum (lowest point EUR 1703.74).
request_108,0,not_affordable,not_recommended,none,,none,Do not proceed with this ZAR 55308 request.
request_109,806.72,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-05-15,none,Pay in 3 installments of EUR 645.98 (option payment_option_307). The projected balance stays above the EUR 1700 minimum (lowest point EUR 1961.97).
request_110,22352,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,Pay in 3 installments of ZAR 7748.69 (option payment_option_310). The projected balance stays above the ZAR 11200 minimum (lowest point ZAR 25392.79).
request_111,16625000,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,Pay IDR 16625000 today. The projected balance stays above the IDR 23022800 minimum (lowest point IDR 57846520.26).
request_112,271.70,affordable_now,full_payment,2024-06-05:271.70,2024-06-05,none,Pay EUR 271.70 today. The projected balance stays above the EUR 500 minimum (lowest point EUR 586.68).
request_113,36500,affordable_now,full_payment,2026-09-04:36500,2026-09-04,none,Pay INR 36500 today. The projected balance stays above the INR 82300 minimum (lowest point INR 83105.49).
request_114,65300,affordable_now,full_payment,2026-01-04:65300,2026-01-04,none,Pay INR 65300 today. The projected balance stays above the INR 113400 minimum (lowest point INR 129540.74).
request_115,14182.89,affordable_later,wait,2024-11-15:80500,2024-11-15,none,"Wait until 2024-11-15, then pay INR 80500 in full. The projected balance stays above the INR 38800 minimum (lowest point INR 52982.89)."
request_116,27543.98,not_affordable,not_recommended,none,,none,"Do not proceed with this INR 241200 request. Although INR 27543.98 is available today, the full amount cannot be completed safely within 90 days while keeping INR 80300."
request_117,880,affordable_now,full_payment,2026-07-05:880,2026-07-05,none,Pay EUR 880 today. The projected balance stays above the EUR 1000 minimum (lowest point EUR 1088.65).
request_118,718.12,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2024-12-15,none,Pay in 3 installments of EUR 255.87 (option payment_option_334). The projected balance stays above the EUR 600 minimum (lowest point EUR 692.33).
request_119,70473.18,affordable_with_plan,installments,2025-05-18:70546.67|2025-06-15:70546.67|2025-07-13:70546.67,2025-06-15,none,Pay in 3 installments of INR 70546.67 (option payment_option_337). The projected balance stays above the INR 151200 minimum (lowest point INR 153531.57).
request_120,7354545.14,affordable_later,wait,2026-04-15:7714000,2026-04-15,none,"Wait until 2026-04-15, then pay IDR 7714000 in full. The projected balance stays above the IDR 20050300 minimum (lowest point IDR 27404845.14)."
request_121,633.60,affordable_now,full_payment,2024-03-03:633.60,2024-03-03,none,Pay USD 633.60 today. The projected balance stays above the USD 800 minimum (lowest point USD 962.81).
request_122,20558000,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,Pay in 3 installments of IDR 7126773.33 (option payment_option_347). The projected balance stays above the IDR 12588500 minimum (lowest point IDR 28643217.53).
request_123,4076000,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,Pay IDR 4076000 today. The projected balance stays above the IDR 18091200 minimum (lowest point IDR 24544018.53).
request_124,1275.05,not_affordable,not_recommended,none,2024-08-15,none,"Do not proceed with this EUR 3104.20 request. Although EUR 1275.05 is available today, the full amount cannot be completed safely within 90 days while keeping EUR 1600."
request_125,6468,affordable_now,full_payment,2025-11-06:6468,2025-11-06,none,Pay ZAR 6468 today. The projected balance stays above the ZAR 11300 minimum (lowest point ZAR 12508.90).
request_126,159600,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,Pay INR 159600 today. The projected balance stays above the INR 129700 minimum (lowest point INR 129714.40).
request_127,15603.09,affordable_later,wait,2024-09-15:23980,2024-09-15,none,"Wait until 2024-09-15, then pay ZAR 23980 in full. The projected balance stays above the ZAR 41000 minimum (lowest point ZAR 56603.09)."
request_128,24190.75,affordable_with_plan,full_payment,2025-02-07:25168,2025-02-15,reduce_to:event_11856:1100|reduce_to:event_11812:1058.20,The projected balance stays above the ZAR 42600 minimum (lowest point ZAR 42790.43). Requires reduce event_11856 to ZAR 1100 and reduce event_11812 to ZAR 1058.20.
request_129,71.23,not_affordable,not_recommended,none,,none,"Do not proceed with this USD 2668.80 request. Although USD 71.23 is available today, the full amount cannot be completed safely within 90 days while keeping USD 800."
request_130,663.31,affordable_later,wait,2024-12-15:1978.80,2024-12-15,none,"Wait until 2024-12-15, then pay USD 1978.80 in full. The projected balance stays above the USD 1400 minimum (lowest point USD 2063.31)."
request_131,1493.67,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-05-15,none,Pay in 3 installments of USD 643.14 (option payment_option_372). The projected balance stays above the USD 1100 minimum (lowest point USD 1426.18).
request_132,379.86,affordable_now,full_payment,2026-01-05:379.86,2026-01-05,none,Pay USD 379.86 today. The projected balance stays above the USD 1100 minimum (lowest point USD 1136.23).
request_133,15770000,affordable_with_plan,full_payment,2024-03-07:15770000,2024-03-07,reduce_to:event_12280:265050,The projected balance stays above the IDR 9986200 minimum (lowest point IDR 18462100). Requires reduce event_12280 to IDR 265050.
request_134,7407746.83,affordable_later,wait,2025-10-15:21831000,2025-10-15,none,"Wait until 2025-10-15, then pay IDR 21831000 in full. The projected balance stays above the IDR 15902500 minimum (lowest point IDR 23310246.83)."
request_135,271.30,affordable_later,wait,2026-07-15:304.80,2026-07-15,none,"Wait until 2026-07-15, then pay USD 304.80 in full. The projected balance stays above the USD 500 minimum (lowest point USD 771.30)."
request_136,560.40,affordable_now,full_payment,2024-06-03:560.40,2024-06-03,none,Pay USD 560.40 today. The projected balance stays above the USD 1100 minimum (lowest point USD 1223.45).
request_137,37380.24,affordable_later,wait,2026-01-15:80100,2026-01-15,none,"Wait until 2026-01-15, then pay INR 80100 in full. The projected balance stays above the INR 71800 minimum (lowest point INR 109180.24)."
request_138,686.63,affordable_with_plan,partial_payment,2026-04-07:686.63|2026-04-15:570.31,2026-04-15,none,Pay EUR 686.63 today and the remaining EUR 570.31 on 2026-04-15. The projected balance stays above the EUR 2300 minimum (lowest point EUR 2300).
request_139,1558.74,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-10-15,none,Pay in 3 installments of USD 802.88 (option payment_option_395). The projected balance stays above the USD 1500 minimum (lowest point USD 1612.91).
request_140,4591.40,not_affordable,not_recommended,none,,none,"Do not proceed with this ZAR 62832 request. Although ZAR 4591.40 is available today, the full amount cannot be completed safely within 90 days while keeping ZAR 21600."
request_141,33517.85,not_affordable,not_recommended,none,,none,"Do not proceed with this INR 171600 request. Although INR 33517.85 is available today, the full amount cannot be completed safely within 90 days while keeping INR 67300."
request_142,1263.60,affordable_now,full_payment,2024-12-05:1263.60,2024-12-05,none,Pay USD 1263.60 today. The projected balance stays above the USD 1700 minimum (lowest point USD 3351.89).
request_143,4472.25,affordable_later,wait,2025-07-15:12584,2025-07-15,none,"Wait until 2025-07-15, then pay ZAR 12584 in full. The projected balance stays above the ZAR 11300 minimum (lowest point ZAR 15772.25)."
request_144,233.34,affordable_now,full_payment,2026-07-04:233.34,2026-07-04,none,Pay USD 233.34 today. The projected balance stays above the USD 600 minimum (lowest point USD 713.09).
request_145,50180.19,affordable_with_plan,installments,2024-03-20:75365.33|2024-04-20:75365.33|2024-05-21:75365.33,2024-05-15,none,Pay in 3 installments of INR 75365.33 (option payment_option_412). The projected balance stays above the INR 155400 minimum (lowest point INR 188417.86).
request_146,17097.86,not_affordable,not_recommended,none,,none,"Do not proceed with this INR 449400 request. Although INR 17097.86 is available today, the full amount cannot be completed safely within 90 days while keeping INR 108600."
request_147,463.62,affordable_with_plan,installments,2026-04-08:391.63|2026-05-08:391.63|2026-06-07:391.63,2026-05-15,none,Pay in 3 installments of EUR 391.63 (option payment_option_418). The projected balance stays above the EUR 900 minimum (lowest point EUR 971.99).
request_148,10456.18,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-07-15,none,Pay in 3 installments of ZAR 7710.56 (option payment_option_421). The projected balance stays above the ZAR 20000 minimum (lowest point ZAR 22745.62).
request_149,24582.61,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-12-15,none,Pay in 3 installments of ZAR 12706.03 (option payment_option_424). The projected balance stays above the ZAR 42100 minimum (lowest point ZAR 45708.25).
request_150,285.59,not_affordable,not_recommended,none,2026-03-15,none,"Do not proceed with this EUR 496.10 request. Although EUR 285.59 is available today, the full amount cannot be completed safely within 90 days while keeping EUR 700."
request_151,26999000,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,Pay IDR 26999000 today. The projected balance stays above the IDR 31633600 minimum (lowest point IDR 33751579.31).
request_152,12416.74,affordable_with_plan,installments,2025-02-12:4812.43|2025-03-12:4812.43|2025-04-09:4812.43,2025-02-15,none,Pay in 3 installments of ZAR 4812.43 (option payment_option_433). The projected balance stays above the ZAR 11900 minimum (lowest point ZAR 13009.71).
request_153,272.64,not_affordable,not_recommended,none,,none,"Do not proceed with this USD 2830.80 request. Although USD 272.64 is available today, the full amount cannot be completed safely within 90 days while keeping USD 1400."
request_154,1625.80,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,Pay in 3 installments of EUR 563.61 (option payment_option_438). The projected balance stays above the EUR 1300 minimum (lowest point EUR 1474.40).
request_155,112500,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,Pay INR 112500 today. The projected balance stays above the INR 56300 minimum (lowest point INR 71890.84).
request_156,9223.44,affordable_later,wait,2026-06-15:43076,2026-06-15,none,"Wait until 2026-06-15, then pay ZAR 43076 in full. The projected balance stays above the ZAR 26900 minimum (lowest point ZAR 36123.44)."
request_157,7058932.83,affordable_later,wait,2024-04-15:23503000,2024-04-15,none,"Wait until 2024-04-15, then pay IDR 23503000 in full. The projected balance stays above the IDR 15714100 minimum (lowest point IDR 22773032.83)."
request_158,242600,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,Pay in 3 installments of INR 84101.33 (option payment_option_449). The projected balance stays above the INR 131400 minimum (lowest point INR 411613.92).
request_159,5887.79,not_affordable,not_recommended,none,,none,"Do not proceed with this ZAR 13398 request. Although ZAR 5887.79 is available today, the full amount cannot be completed safely within 90 days while keeping ZAR 8700."
request_160,498.71,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-07-15,none,Pay in 3 installments of EUR 432.05 (option payment_option_454). The projected balance stays above the EUR 1200 minimum (lowest point EUR 1266.66).
request_161,9683474.25,affordable_later,wait,2026-01-15:21204000,2026-01-15,none,"Wait until 2026-01-15, then pay IDR 21204000 in full. The projected balance stays above the IDR 23010400 minimum (lowest point IDR 32693874.25)."
request_162,4447515.27,not_affordable,not_recommended,none,,none,"Do not proceed with this IDR 83923000 request. Although IDR 4447515.27 is available today, the full amount cannot be completed safely within 90 days while keeping IDR 24161100."
request_163,13289162,affordable_with_plan,installments,2024-09-10:6692053.33|2024-10-11:6692053.33|2024-11-11:6692053.33,2024-10-15,none,Pay in 3 installments of IDR 6692053.33 (option payment_option_462). The projected balance stays above the IDR 26728700 minimum (lowest point IDR 30151433.55).
request_164,21082806.34,not_affordable,not_recommended,none,2025-04-24,none,"Do not proceed with this IDR 27018000 request. Although IDR 21082806.34 is available today, the full amount cannot be completed safely within 90 days while keeping IDR 29550500."
request_165,80600,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,Pay INR 80600 today. The projected balance stays above the INR 95000 minimum (lowest point INR 267954.20).
request_166,2907.60,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,Pay in 3 installments of USD 1007.97 (option payment_option_471). The projected balance stays above the USD 1700 minimum (lowest point USD 4065.75).
request_167,43802,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,Pay ZAR 43802 today. The projected balance stays above the ZAR 31200 minimum (lowest point ZAR 47049.22).
